# FLOW_HGT_MIN=3.0 inject_on_s=33.584 inject_off_s=49.384 src=00000002.BIN head=84ec31a99d
t_s,VN,VE,alt_m
36.340,-0.1161,-0.1402,2.001
36.440,-0.1185,-0.1420,2.001
36.540,-0.1205,-0.1434,2.002
36.640,-0.1222,-0.1444,2.002
36.739,-0.1237,-0.1451,2.002
36.839,-0.1251,-0.1457,2.002
36.939,-0.1263,-0.1465,2.002
37.039,-0.1273,-0.1471,2.002
37.139,-0.1283,-0.1478,2.002
37.239,-0.1290,-0.1485,2.003
37.339,-0.1296,-0.1489,2.003
37.439,-0.1301,-0.1491,2.003
37.539,-0.1305,-0.1493,2.003
37.639,-0.1307,-0.1492,2.003
37.739,-0.1308,-0.1492,2.003
37.839,-0.1308,-0.1488,2.004
37.940,-0.1308,-0.1484,2.004
38.040,-0.1305,-0.1477,2.005
38.140,-0.1302,-0.1468,2.005
38.240,-0.1297,-0.1458,2.006
38.340,-0.1293,-0.1448,2.006
38.440,-0.1287,-0.1436,2.007
38.540,-0.1281,-0.1423,2.007
38.640,-0.1273,-0.1410,2.007
38.739,-0.1264,-0.1395,2.008
38.839,-0.1254,-0.1379,2.008
38.939,-0.1243,-0.1363,2.008
39.039,-0.1232,-0.1346,2.009
39.139,-0.1221,-0.1328,2.009
39.239,-0.1209,-0.1310,2.009
39.339,-0.1195,-0.1290,2.009
39.439,-0.1181,-0.1270,2.010
39.539,-0.1167,-0.1250,2.010
39.639,-0.1151,-0.1229,2.010
39.739,-0.1136,-0.1208,2.010
39.839,-0.1120,-0.1187,2.011
39.940,-0.1104,-0.1166,2.011
40.040,-0.1088,-0.1143,2.011
40.140,-0.1070,-0.1119,2.011
40.240,-0.1051,-0.1095,2.011
40.340,-0.1031,-0.1069,2.010
40.440,-0.1011,-0.1042,2.010
40.540,-0.0990,-0.1014,2.010
40.640,-0.0969,-0.0985,2.009
40.740,-0.0941,-0.0950,2.009
40.839,-0.0920,-0.0922,2.009
40.939,-0.0898,-0.0893,2.008
41.039,-0.0875,-0.0864,2.008
41.139,-0.0852,-0.0833,2.008
41.239,-0.0827,-0.0800,2.008
41.339,-0.0803,-0.0768,2.008
41.439,-0.0778,-0.0737,2.008
41.539,-0.0753,-0.0705,2.008
41.639,-0.0727,-0.0674,2.008
41.739,-0.0702,-0.0644,2.008
41.839,-0.0677,-0.0613,2.008
41.939,-0.0652,-0.0583,2.008
42.040,-0.0626,-0.0554,2.008
42.140,-0.0600,-0.0525,2.008
42.240,-0.0573,-0.0497,2.008
42.340,-0.0547,-0.0469,2.008
42.440,-0.0521,-0.0440,2.008
42.540,-0.0495,-0.0411,2.008
42.640,-0.0468,-0.0384,2.008
42.740,-0.0442,-0.0357,2.008
42.840,-0.0415,-0.0331,2.008
42.939,-0.0389,-0.0304,2.008
43.039,-0.0362,-0.0279,2.008
43.139,-0.0335,-0.0254,2.008
43.239,-0.0308,-0.0229,2.008
43.339,-0.0281,-0.0203,2.008
43.439,-0.0253,-0.0177,2.008
43.539,-0.0224,-0.0150,2.008
43.639,-0.0195,-0.0125,2.008
43.739,-0.0168,-0.0103,2.008
43.839,-0.0141,-0.0082,2.008
43.939,-0.0115,-0.0061,2.008
44.039,-0.0088,-0.0041,2.008
44.140,-0.0063,-0.0021,2.007
44.240,-0.0038,-0.0001,2.007
44.340,-0.0012,0.0020,2.006
44.440,0.0014,0.0042,2.006
44.540,0.0041,0.0067,2.005
44.640,0.0069,0.0094,2.005
44.740,0.0098,0.0125,2.004
44.840,0.0127,0.0157,2.004
44.940,0.0156,0.0190,2.004
45.039,0.0186,0.0224,2.004
45.139,0.0215,0.0258,2.004
45.239,0.0245,0.0293,2.004
45.339,0.0274,0.0327,2.004
45.439,0.0302,0.0361,2.004
45.539,0.0331,0.0396,2.004
45.639,0.0359,0.0430,2.004
45.739,0.0386,0.0464,2.004
45.839,0.0413,0.0497,2.005
45.939,0.0440,0.0528,2.005
46.039,0.0468,0.0558,2.005
46.139,0.0497,0.0586,2.005
46.240,0.0523,0.0611,2.006
46.340,0.0552,0.0637,2.006
46.440,0.0581,0.0663,2.006
46.540,0.0610,0.0690,2.006
46.640,0.0638,0.0718,2.006
46.740,0.0666,0.0746,2.005
46.840,0.0693,0.0774,2.005
46.940,0.0720,0.0803,2.005
47.040,0.0745,0.0832,2.005
47.139,0.0767,0.0860,2.004
47.239,0.0789,0.0889,2.004
47.339,0.0810,0.0917,2.003
47.439,0.0832,0.0946,2.003
47.539,0.0852,0.0977,2.003
47.639,0.0872,0.1008,2.002
47.739,0.0891,0.1038,2.002
47.839,0.0911,0.1067,2.001
47.939,0.0931,0.1096,2.001
48.039,0.0950,0.1123,2.000
48.139,0.0969,0.1150,2.000
48.239,0.0988,0.1176,2.000
48.340,0.1007,0.1201,2.000
48.440,0.1026,0.1225,2.000
48.540,0.1044,0.1246,2.000
48.640,0.1062,0.1267,2.001
48.740,0.1080,0.1287,2.001
48.840,0.1098,0.1305,2.001
48.940,0.1116,0.1321,2.002
49.040,0.1133,0.1335,2.002
49.140,0.1149,0.1347,2.002
49.239,0.1164,0.1357,2.002
49.339,0.1178,0.1367,2.002
49.439,0.1191,0.1376,2.002
49.539,0.1204,0.1386,2.002
49.639,0.1215,0.1399,2.002
49.739,0.1226,0.1413,2.002
49.839,0.1211,0.1400,1.998
49.939,0.1059,0.1241,1.921
50.039,0.0850,0.1001,1.745
50.139,0.0613,0.0709,1.472
50.239,0.0310,0.0377,1.099
50.339,-0.0080,-0.0059,0.636
50.440,-0.0694,-0.0752,0.076
50.540,0.1905,0.2255,-0.325
50.640,0.3576,0.4160,-0.301
50.740,0.3633,0.4199,-0.135
50.840,0.3004,0.3459,-0.016
50.940,0.2381,0.2853,0.018
51.040,0.2048,0.2654,0.001
51.140,0.1883,0.2584,-0.021
