# FLOW_HGT_MIN=3.0 inject_on_s=33.584 inject_off_s=49.384 src=00000002.BIN head=84ec31a99d
t_s,VN,VE,alt_m
3.539,0.0000,0.0000,-0.000
3.739,0.0000,0.0000,-0.000
3.939,0.0000,0.0000,-0.000
4.139,0.0000,0.0000,-0.000
4.339,0.0000,0.0000,-0.000
4.540,0.0000,-0.0000,-0.001
4.740,0.0000,0.0001,-0.009
4.940,-0.0001,0.0000,-0.019
5.140,-0.0000,0.0000,-0.028
5.340,0.0001,0.0000,-0.034
5.539,0.0001,-0.0000,-0.038
5.739,0.0001,0.0000,-0.041
5.939,0.0000,0.0001,-0.042
6.139,-0.0000,0.0001,-0.041
6.339,-0.0000,0.0000,-0.039
6.539,-0.0001,0.0000,-0.036
6.740,-0.0001,-0.0000,-0.032
6.940,-0.0001,-0.0001,-0.027
7.140,0.0000,-0.0001,-0.021
7.340,0.0001,-0.0001,-0.015
7.539,0.0002,-0.0000,-0.010
7.739,0.0001,-0.0000,-0.004
7.939,0.0000,-0.0000,0.002
8.139,0.0001,0.0001,0.007
8.339,0.0001,0.0001,0.012
8.539,0.0001,0.0000,0.016
8.740,0.0001,0.0001,0.020
8.940,0.0001,0.0001,0.023
9.140,-0.0000,0.0001,0.026
9.340,0.0000,0.0001,0.028
9.540,0.0001,0.0000,0.030
9.739,0.0001,-0.0000,0.031
9.939,0.0002,0.0000,0.032
10.139,0.0001,0.0001,0.033
10.339,0.0001,0.0000,0.033
10.539,0.0002,0.0001,0.033
10.739,0.0002,0.0001,0.033
10.940,0.0002,0.0002,0.033
11.140,0.0002,0.0002,0.033
11.340,0.0003,0.0002,0.032
11.540,0.0003,0.0001,0.031
11.739,0.0002,0.0001,0.031
11.939,0.0002,0.0001,0.030
12.139,0.0003,0.0001,0.029
12.339,0.0003,0.0002,0.028
12.539,0.0003,0.0002,0.027
12.739,0.0003,0.0002,0.026
12.940,0.0003,0.0002,0.025
13.140,0.0004,0.0002,0.025
13.340,0.0004,0.0002,0.024
13.540,0.0005,0.0002,0.023
13.740,0.0005,0.0002,0.022
13.939,0.0004,0.0002,0.021
14.139,0.0005,0.0003,0.020
14.339,0.0004,0.0004,0.020
14.539,0.0004,0.0003,0.019
14.739,0.0005,0.0003,0.018
14.940,0.0004,0.0002,0.017
15.140,0.0004,0.0001,0.017
15.340,0.0005,0.0003,0.016
15.540,0.0004,0.0003,0.016
15.740,0.0004,0.0002,0.015
15.939,0.0005,0.0003,0.015
16.039,0.0005,0.0003,-0.001
16.139,0.0004,0.0002,-0.002
16.239,0.0002,0.0001,-0.003
16.339,0.0001,0.0000,-0.003
16.439,0.0000,-0.0000,-0.003
16.539,-0.0000,-0.0000,-0.003
16.639,-0.0002,-0.0001,-0.003
16.739,-0.0002,-0.0001,-0.003
16.839,-0.0001,-0.0001,-0.003
16.939,-0.0001,-0.0000,-0.003
17.040,-0.0001,0.0000,-0.003
17.140,-0.0000,0.0000,-0.002
17.240,0.0000,0.0001,-0.002
17.340,0.0001,0.0001,-0.002
17.440,0.0001,0.0001,-0.001
17.540,0.0001,0.0002,-0.001
17.640,0.0001,0.0001,-0.000
17.740,0.0001,0.0002,-0.000
17.840,0.0002,0.0002,0.000
17.939,0.0002,0.0002,0.001
18.039,0.0002,0.0003,0.001
18.139,0.0002,0.0003,0.001
18.239,0.0002,0.0003,0.002
18.339,0.0003,0.0003,0.002
18.439,0.0003,0.0003,0.003
18.539,0.0004,0.0003,0.003
18.639,0.0004,0.0003,0.003
18.739,0.0005,0.0003,0.004
18.839,0.0005,0.0003,0.004
18.939,0.0006,0.0003,0.004
19.039,0.0006,0.0003,0.005
19.140,0.0006,0.0003,0.005
19.240,0.0006,0.0004,0.005
19.340,0.0007,0.0004,0.006
19.440,0.0008,0.0004,0.006
19.540,0.0009,0.0005,0.013
19.640,0.0009,0.0005,0.032
19.740,0.0010,0.0005,0.059
19.840,0.0010,0.0006,0.090
19.940,0.0011,0.0007,0.123
20.039,0.0012,0.0007,0.165
20.139,0.0012,0.0007,0.247
20.239,0.0007,0.0006,0.352
20.339,0.0000,0.0003,0.453
20.439,-0.0009,0.0000,0.537
20.539,-0.0020,-0.0002,0.604
20.639,-0.0028,-0.0004,0.662
20.739,-0.0036,-0.0006,0.714
20.839,-0.0042,-0.0008,0.764
20.939,-0.0048,-0.0009,0.814
21.039,-0.0052,-0.0011,0.862
21.139,-0.0056,-0.0011,0.910
21.240,-0.0059,-0.0012,0.959
21.340,-0.0060,-0.0012,1.008
21.440,-0.0061,-0.0011,1.058
21.540,-0.0062,-0.0009,1.109
21.640,-0.0062,-0.0009,1.162
21.740,-0.0063,-0.0010,1.217
21.840,-0.0063,-0.0011,1.273
21.940,-0.0062,-0.0011,1.330
22.040,-0.0061,-0.0012,1.389
22.139,-0.0059,-0.0013,1.449
22.239,-0.0057,-0.0013,1.510
22.339,-0.0055,-0.0012,1.572
22.439,-0.0054,-0.0010,1.634
22.539,-0.0053,-0.0010,1.697
22.639,-0.0053,-0.0010,1.760
22.739,-0.0052,-0.0008,1.823
22.839,-0.0050,-0.0007,1.886
22.939,-0.0047,-0.0007,1.949
23.039,-0.0045,-0.0006,2.013
23.139,-0.0043,-0.0006,2.077
23.239,-0.0042,-0.0006,2.141
23.340,-0.0038,-0.0004,2.205
23.440,-0.0033,-0.0002,2.269
23.540,-0.0027,0.0001,2.333
23.640,-0.0021,0.0004,2.397
23.740,-0.0014,0.0008,2.461
23.840,-0.0006,0.0012,2.525
23.940,-0.0001,0.0016,2.589
24.040,0.0006,0.0020,2.652
24.140,0.0013,0.0024,2.716
24.239,0.0020,0.0029,2.780
24.339,0.0026,0.0035,2.843
24.439,0.0033,0.0039,2.906
24.539,0.0041,0.0041,2.970
24.639,0.0049,0.0043,3.033
24.739,0.0057,0.0044,3.097
24.839,0.0065,0.0045,3.160
24.939,0.0056,0.0038,3.224
25.039,0.0045,0.0039,3.287
25.139,0.0033,0.0032,3.351
25.239,0.0007,0.0015,3.415
25.339,-0.0027,-0.0002,3.480
25.440,-0.0050,-0.0007,3.544
25.540,-0.0072,-0.0013,3.608
25.640,-0.0091,-0.0022,3.672
25.740,-0.0119,-0.0022,3.735
25.840,-0.0130,-0.0009,3.799
25.940,-0.0124,0.0004,3.863
26.040,-0.0128,-0.0002,3.926
26.140,-0.0129,-0.0015,3.990
26.239,-0.0127,-0.0029,4.054
26.339,-0.0115,-0.0061,4.117
26.439,-0.0107,-0.0094,4.181
26.539,-0.0081,-0.0113,4.244
26.639,-0.0057,-0.0108,4.302
26.739,-0.0048,-0.0101,4.354
26.839,-0.0030,-0.0122,4.397
26.939,-0.0026,-0.0128,4.432
27.039,-0.0021,-0.0111,4.459
27.139,-0.0034,-0.0068,4.480
27.239,-0.0022,-0.0038,4.491
27.339,0.0028,0.0004,4.494
27.440,0.0104,0.0061,4.486
27.540,0.0153,0.0109,4.468
27.640,0.0198,0.0134,4.440
27.740,0.0238,0.0148,4.403
27.840,0.0273,0.0168,4.355
27.940,0.0316,0.0212,4.297
28.040,0.0379,0.0251,4.228
28.140,0.0429,0.0314,4.150
28.240,0.0478,0.0355,4.061
28.339,0.0517,0.0376,3.962
28.439,0.0536,0.0378,3.853
28.539,0.0526,0.0346,3.735
28.639,0.0450,0.0305,3.606
28.739,0.0377,0.0278,3.467
28.839,0.0274,0.0277,3.322
28.939,0.0144,0.0278,3.172
29.039,0.0022,0.0318,3.022
29.139,-0.0040,0.0317,2.876
29.239,-0.0018,0.0295,2.735
29.339,0.0058,0.0278,2.604
29.439,0.0158,0.0277,2.482
29.540,0.0256,0.0291,2.372
29.640,0.0337,0.0316,2.274
29.740,0.0400,0.0349,2.190
29.840,0.0451,0.0385,2.118
29.940,0.0493,0.0424,2.058
30.040,0.0529,0.0463,2.010
30.140,0.0565,0.0503,1.975
30.240,0.0607,0.0545,1.950
30.340,0.0654,0.0591,1.937
30.439,0.0706,0.0640,1.933
30.539,0.0759,0.0689,1.937
30.639,0.0814,0.0738,1.945
30.739,0.0869,0.0786,1.956
30.839,0.0925,0.0835,1.969
30.939,0.0982,0.0886,1.981
31.039,0.1041,0.0937,1.993
31.139,0.1100,0.0989,2.003
31.239,0.1160,0.1041,2.012
31.339,0.1220,0.1091,2.019
31.439,0.1279,0.1140,2.024
31.539,0.1330,0.1184,2.027
31.640,0.1386,0.1236,2.029
31.740,0.1436,0.1284,2.029
31.840,0.1484,0.1329,2.029
31.940,0.1528,0.1373,2.028
32.040,0.1571,0.1412,2.026
32.140,0.1613,0.1448,2.024
32.240,0.1657,0.1484,2.022
32.340,0.1701,0.1521,2.020
32.440,0.1745,0.1557,2.018
32.539,0.1787,0.1594,2.016
32.639,0.1827,0.1630,2.014
32.739,0.1863,0.1665,2.012
32.839,0.1897,0.1698,2.011
32.939,0.1931,0.1728,2.010
33.039,0.1965,0.1757,2.009
33.139,0.1998,0.1784,2.008
33.239,0.2030,0.1807,2.008
33.339,0.2061,0.1829,2.007
33.439,0.2091,0.1851,2.007
33.539,0.2076,0.1830,2.006
33.639,0.1964,0.1715,2.006
33.740,0.1783,0.1530,2.005
33.840,0.1567,0.1309,2.005
33.940,0.1340,0.1076,2.004
34.040,0.1116,0.0847,2.003
34.140,0.0900,0.0628,2.002
34.240,0.0695,0.0424,2.001
34.340,0.0500,0.0233,2.000
34.440,0.0321,0.0057,1.999
34.540,0.0158,-0.0105,1.998
34.639,0.0011,-0.0252,1.998
34.739,-0.0122,-0.0386,1.998
34.839,-0.0243,-0.0507,1.998
34.939,-0.0353,-0.0616,1.998
35.039,-0.0453,-0.0717,1.998
35.139,-0.0544,-0.0807,1.998
35.239,-0.0626,-0.0888,1.999
35.339,-0.0701,-0.0963,1.999
35.439,-0.0769,-0.1029,1.999
35.539,-0.0832,-0.1089,1.999
35.639,-0.0889,-0.1144,2.000
35.739,-0.0943,-0.1195,2.000
35.840,-0.0987,-0.1236,2.000
35.940,-0.1031,-0.1279,2.000
36.040,-0.1070,-0.1318,2.001
36.140,-0.1104,-0.1352,2.001
36.240,-0.1135,-0.1379,2.001
